Terrane,Terrane,Age,2_ error
Unst-Fetlar,Laurentia Hebridean,2699,48
Unst-Fetlar,Laurentia Hebridean,944,52
Unst-Fetlar,Laurentia Hebridean,931,29
Hebridean,Laurentia Hebridean,1729,36
Hebridean,Laurentia Hebridean,2470,30
Hebridean,Laurentia Hebridean,2764,12
Hebridean,Laurentia Hebridean,1854,13
Hebridean,Laurentia Hebridean,3125,14
Hebridean,Laurentia Hebridean,1672,8
Hebridean,Laurentia Hebridean,1683,9
Hebridean,Laurentia Hebridean,2834,14
Hebridean,Laurentia Hebridean,1880,10
Hebridean,Laurentia Hebridean,1674,3
Hebridean,Laurentia Hebridean,1887,7
Hebridean,Laurentia Hebridean,2690,140
Hebridean,Laurentia Hebridean,2640,120
Hebridean,Laurentia Hebridean,2728,2
Hebridean,Laurentia Hebridean,2732,4
Hebridean,Laurentia Hebridean,2792,2
Northern Highlands,Laurentia,599,9
Northern Highlands,Laurentia,588,8
Northern Highlands,Laurentia,594,11
Northern Highlands,Laurentia,873,7
Northern Highlands,Laurentia,870,30
Northern Highlands,Laurentia,873,6
Northern Highlands,Laurentia,827,2
Northern Highlands,Laurentia,784,1
South Islay-Colonsay,Laurentia,1782,5
South Islay-Colonsay,Laurentia,1779,3
Grampian,Laurentia,1753,3
Grampian,Laurentia,1271,6
Grampian,Laurentia,1177,4
Grampian,Laurentia,995,6
Grampian,Laurentia,984,6
Grampian,Laurentia,840,11
Grampian,Laurentia,808,10
Grampian,Laurentia,804,12
Grampian,Laurentia,806,3
Grampian,Laurentia,601,4
Grampian,Laurentia,600,3
Grampian,Laurentia,601,4
Grampian,Laurentia,590,2
Monian,Laurentia,626,6
Monian,Laurentia,618,6
Monian,Laurentia,614,4
Cymru,Gondwana,615,1
Cymru,Gondwana,615,2
Cymru,Gondwana,606,4
Cymru,Gondwana,574,3
Cymru,Gondwana,587,20
Cymru,Gondwana,643,16
Cymru,Gondwana,566,2
Cymru,Gondwana,711,1.5
Cymru,Gondwana,567,3
Cymru,Gondwana,556,4
Midland Platform,Gondwana,560,1
Midland Platform,Gondwana,536,8
Midland Platform,Gondwana,603,2
Midland Platform,Gondwana,677,2
Midland Platform,Gondwana,566,2
Fenland,Gondwana,557,6
Fenland,Gondwana,562,0.3
Fenland,Gondwana,565,0.3
Fenland,Gondwana,569,0.5
Fenland,Gondwana,612,21
Fenland,Gondwana,616,6
North Armorican,Gondwana N. Amorica,2100,30
North Armorican,Gondwana N. Amorica,2200,30
North Armorican,Gondwana N. Amorica,610,2
North Armorican,Gondwana N. Amorica,572,1
North Armorican,Gondwana N. Amorica,2018,15
North Armorican,Gondwana N. Amorica,570,1.5
North Armorican,Gondwana N. Amorica,597,1
North Armorican,Gondwana N. Amorica,563,1